,domains,counts
10,"['SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'T7SS_Rv3446c', 'VI_IcmF']",1
11,"['SDR_subfam_2', 'Phosphodiest', 'SnoaL_2', 'DUF899', 'AHSA1', 'HTH_20', 'Sigma70_r4_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Acetyltransf_6', 'FAD_binding_3', 'DUF2306', 'YvrJ', 'TetR_N', 'FAD_binding_3', 'Ubi-OHases', 'mycofact_TetR']",1
12,"['SDR_subfam_2', 'mft_etfB', 'FeFe_hydrog_B1', 'GG-red-SF', 'DAO', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'ATP-grasp_4', '/NonD', 'FimV_core', 'greA', 'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6', 'TOBE_2', 'ilvD']",1
13,"['SDR_subfam_2', 'mft_etfB', 'FeFe_hydrog_B1', 'GG-red-SF', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'LCM']",1
14,"['SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'Glyoxalase_6', 'Sig70_famx2', 'Malic_M', 'malic', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_11', 'CYP450_TxtE', 'P450_rel_GT_act']",1
15,"['SDR_subfam_2', 'mft_etfB', 'FeFe_hydrog_B1', 'GG-red-SF', 'Pyr_redox', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'LCM', 'NUDIX', 'mutt', 'NYN_YacP']",1
16,"['SDR_subfam_2', 'mft_etfB', 'Fer4_2', 'Fer4', 'GG-red-SF', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'greA', 'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6', 'ilvD', 'GSHPx', 'gpx7', 'adh_short', 'PHB_DH', 'CobN-Mg_chel']",1
17,"['SDR_subfam_2', 'mft_etfB', 'Fer4_2', 'Fer4', 'GG-red-SF', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rxyl_3153', 'Usp', 'P_acnes_RR', 'FmdA_AmdA', 'aceE', 'AsnC_trans_reg', 'HTH_AsnC-type', 'HTH_8']",1
18,"['SDR_subfam_2', 'mft_etfB', 'Fer4_2', 'Fer4', 'GG-red-SF', 'Pyr_redox', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF5753', 'HTH_31', 'DUF397', 'SUFU', 'DUF6507']",1
19,"['SDR_subfam_2', 'mft_etfB', 'Fer4_2', 'aprB', 'Fer4', 'GG-red-SF', 'DAO', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF1707', 'Defensin_big', 'Amidohydro_2', 'DNA_binding_1', 'PaaC-3OHAcCoADH', 'cyc_hxne_CoA_dh', 'Pro-kuma_activ', 'Peptidase_S8']",1
20,"['SDR_subfam_2', 'mft_etfB', 'Fer4_9', 'Fer4', 'RLI', 'GG-red-SF', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Usp', 'DDE_3', 'HTH_29', 'HTH_28', 'GerE', 'IMS', 'DNA_pol_lambd_f', 'NUDIX', 'DUF6415']",1
21,"['SDR_subfam_2', 'mycofact_creat', 'Hydrolase_4', 'Abhydrolase_6', 'HTH_20', 'HTH_17', 'TetR_C_11', 'TetR_N', 'FAD_binding_3', 'mycofact_OYE_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Response_reg', 'GerE', 'HisKA_3', 'HATPase_c', 'Fe-ADH', 'Peptidase_S58', 'moaA', 'ThiS']",1
22,"['SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'PGDH', 'Glyoxalase_6', 'Sig70_famx2', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",1
23,"['SDH_alpha', 'TIGR00147', 'LssY_C', 'Methyltransf_11', 'Rv0697', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'AAA_5', 'bpMoxR', 'ruvB', 'VWA_2', 'marine_srt_targ', 'actino_HemFlav', 'enACPred_II', 'Cellulase', 'CBM_2']",1
24,"['SDR_subfam_1', 'P450_rel_GT_act', 'Fer2', 'Reductase_C', 'AMP-binding', 'AMP-binding_C', 'mycofact_TetR', 'DUF2934', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'betA', 'AraC_binding_2', 'HTH_AraC', 'Aldedh', 'Rxyl_3153']",1
25,"['SGL', 'HpaG-C-term', 'SBP_bac_1', 'TAT_signal', 'PhnU2', 'BPD_transp_1', 'AAA_16', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_N', 'PA_CoA_Oxy5', 'FAD_oxidored', 'MFS_1', 'HpaX', 'TF_pcaQ', 'MarR', 'glut_race', 'Pyr_redox_2']",1
26,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'cyc_hxne_CoA_dh', 'protocat_pcaD', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'RNase_II_C_S1']",1
27,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'CD24', 'DUF3482', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'CLSTN_C']",1
28,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'TrkH', 'DUF6112']",1
29,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DoxX', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'FAM70', 'DUF3040', 'DUF456', 'DUF3619']",1
30,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'mycofact_MftB', 'mycofactocin', 'Abhydrolase_6', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DNA_alkylation', 'Pyr_redox_2', 'DotU']",1
31,"['Rv1155_F420', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DoxX', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'AOX']",1
32,"['Rxyl_3153', 'FAD_binding_3', '2TM', 'DUF1707', 'actino_HemFlav', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'EAL', 'GGDEF', 'Pyrid_ox_like', 'UPF0225', 'SEC-C', 'mycofact_creat', 'Peripla_BP_2', 'Isochorismatase', 'PqqA', 'mycofact_glyco']",1
33,"['Rxyl_3153', 'FAD_binding_3', 'DUF6204', 'actino_HemFlav', 'SDR_subfam_1', 'mycofact_TetR', 'ANTAR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Pyrid_ox_like', 'UPF0225', 'mycofact_creat', 'Peripla_BP_2', 'LPAM_2', 'Isochorismatase', 'mycofact_glyco', 'efflux_Bcr_CflA']",1
34,"['Rxyl_3153', 'FAD_binding_3', 'TrkA_N', 'Polyketide_cyc2', 'am_tr_V_VC1184', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'Pyrid_ox_like', 'efflux_Bcr_CflA', 'SnoaL', 'mycofact_creat', 'Peripla_BP_2', 'Isochorismatase', 'PqqA']",1
35,"['Rxyl_3153', 'FAD_binding_3', 'Ubi-OHases', 'lao', 'SDR_subfam_1', 'actino_HemFlav', 'TetR_N', 'TetR_C_29', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'VWA_2', 'VWA_CoxE', 'EAL', 'ACT_7', 'DUF4398', 'Pyrid_ox_like', 'UPF0225', 'SEC-C', 'mycofact_creat', 'Peripla_BP_2']",1
36,"['Rxyl_3153', 'PEP_resp_reg', 'propionate_PrpR', 'HTH_AsnC-type', 'GAF', 'AMP-binding', 'AMP-binding_C', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Phage_holin_5_2', 'DUF1269', 'SfLAP', 'SHOCT', 'DUF6325', 'Phage_holin_4_2']",1
37,"['SBF_like', 'Acetyltransf_1', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mft_etfB', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'CDC48', 'UBA', 'VWA_CoxE', 'Methyltransf_11', 'MetW', 'BioC', 'Response_reg', 'GerE', 'HisKA_3', 'Fe-ADH']",1
38,"['SBP_KPN_01854', 'actino_HemFlav', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'HTH_23', 'tdh', 'Lactonase', 'AP_endonuc_2', 'RuMP_HxlA', 'gntK_FGGY', 'TetR_N', 'TetR_C_6']",1
39,"['SBP_bac_1', '3a0106s02', 'BPD_transp_1', 'phosphate_pstC', 'PhnT2', 'trehalose_treC', 'Sulfatase', 'DUF3558', 'Hydrolase_3', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'NDMA_methanol', 'AAA_5', 'CbbQ_C', 'VWA_CoxE']",1
40,"['SBP_bac_1', 'chitin_NgcE', 'BPD_transp_1', 'BPD_transp_1', 'permease_CysT', 'PGDH', 'DUF2264', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'TRX_reduct', 'DUF418', 'TetR_N', 'HTH_AsnC-type', '2A0121', 'Rce1-like', 'HisKA_3', 'MYXO-CTERM', 'PEP_exosort']",1
41,"['SBP_bac_8', 'betaine_BetI', 'TetR_N', 'MFS_1', '2_A_01_02', 'Rv0697', 'betA', 'mycofact_glyco', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Dabb', 'SBP_bac_8', 'PhnU2', 'TrbK_Ti', 'PhnU2', 'potA', 'Cupin_2', 'HTH_3', 'HTH_31']",1
42,"['SCM_rSAM_ScmE', 'mycofact_glyco', 'ETF', 'Fer4_7', 'Fer4_2', 'GG-red-SF', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NUDIX', 'DZR', 'MFS_1', 'phoR_proteo', 'sensory_box', 'Fe-ADH', 'Pyr_redox_3', 'NAD_binding_8', 'sms', 'Redoxin']",1
43,"['SGL', 'DUF779', 'Aldedh', 'actino_HemFlav', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NPR', 'SNF', 'MaAIMP_sms', 'NDMA_methanol', 'AAA_5', 'CbbQ_C', 'SelP_N', 'VWA_CoxE', 'Methyltransf_11', 'Response_reg', 'GerE']",1
44,"['SHOCT', 'DUF5826', 'DMAP_binding', 'SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', '2-Hacid_dh_C', 'NAD_binding_2', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",1
45,"['SHOCT', 'DUF2162', 'SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'Glyoxalase_6', 'Sig70_famx2', 'DUF2332', 'mycofact_TetR', 'LacI', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_11']",1
46,"['Rv0697', 'betA', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Dabb', 'SBP_bac_8', 'PhnU2', 'PhnU2', 'potA', 'Cupin_2', 'HTH_3']",1
47,"['Sulfotransfer_4', 'TOMM_pelo', 'DnaJ_CXXCXGXG', 'zf-ACC', 'zf-RING_7', 'zf-TFIIB', 'mycofact_glyco', 'Methyltransf_23', 'Creatininase', 'actino_HemFlav', 'mycofact_rSAM', 'mycofact_rSAM', 'mycofact_rSAM', 'Mycofactocin_RRE', 'SDR_subfam_1', 'mycofactocin', 'NUDIX', 'NicO', 'DUF4242', 'FeS_nifS']",1
48,"['T2SSF', 'T2SSF', 'Cpta_toxin', 'heli_sec_ATPase', 'CpaE_hom_Actino', 'HAD-SF-IB-hyp1', 'adh_short_C2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF6403', 'DctQ', 'mycofact_glyco', 'mycofact_creat', 'VWA_CoxE', 'AAA_5', 'bpMoxR', 'TIGR02928']",1
49,"['T2SSF', 'T2SSF', 'Tir_receptor_C', 'heli_sec_ATPase', 'CpaE_hom_Actino', 'flgA_cterm', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', '3oxo_ACP_reduc', 'ABM', 'TetR_N', 'AAA_8', 'MoaE', 'Amidohydro_2', 'Amidohydro_2']",1
50,"['T7SS_ESX_EspC', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'PA_CoA_Oxy5', 'rpiA', 'SPW', 'TetR_N', 'TetR_C_31', 'glut_race']",1
51,"['TFIID_30kDa', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'HTH_3', 'PhdYeFM_antitox', 'YoeB_toxin', 'DDE_3', 'HTH_33']",1
52,"['TIGR02246', 'F420H2_quin_red', 'DUF4052', 'Bac_globin', 'MPAB_Lcp_cat', 'TAT_signal_seq', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA-IIL', 'DUF2387', 'TF_Zn_Ribbon', 'CM_2', 'SoxR', 'Abhydrolase_3', 'DUF6261', 'DUF6307']",1
53,"['TPR_14', 'AAA_5', 'Rxyl_3153', 'FAD_binding_3', 'actino_HemFlav', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'EAL', 'ACT_7', 'DUF5693', 'Pyrid_ox_like', 'TetR_C_1', 'MarR_2', 'HTH_24', 'drrA', 'drrB', 'Cm_res_leader', 'mycofact_creat', 'Peripla_BP_2']",1
54,"['TarH', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'DUF559', 'AbiEi_1', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'glcD']",1
55,"['TauD', 'aldehy_Rv0768', 'CoA_transf_3', 'OB_aCoA_assoc', 'AcCoA-C-Actrans', 'ETF', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'SDR_subfam_2', 'pter_reduc_Leis', 'mycofact_glyco', 'actino_HemFlav', 'Amidohydro_3', 'CoA_transf_3', 'ECH_1', 'dienoyl_CoA_hyt', 'RHH_4']",1
56,"['TauE', 'CysD', 'CysN', 'YajC', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'RibD_C', 'GNAT_like', 'DHPS', 'Glycos_transf_2', 'Hemerythrin', 'Hydrolase_3']",1
57,"['TetR_C_24', 'HTH_23', 'HTH_AsnC-type', 'MFS_1', 'STI1', 'bchO_mg_che_rel', 'His_Phos_1', 'mycofact_glyco', 'SDR_subfam_2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rxyl_3153', 'AAA_5', 'VWA_CoxE', 'Mg_chelatase', 'DTMP_kinase', 'Lipase_GDSL_2', 'HTH_30', 'HTH_28', 'GGDEF_2', 'TOBE', 'PA_CoA_Oxy5', 'FA_desaturase', 'Rsa3', 'DUF1206']",1
58,"['TetR_N', 'TetR_C_11', 'efflux_EmrB', 'Asp_Glu_race', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'DDAH_eukar', 'Orn_aminotrans', 'SDR_subfam_1', 'SHOCT', 'Phage_holin_3_6']",1
59,"['TetR_N', 'TetR_C_11', 'efflux_EmrB', 'Asp_Glu_race', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_24', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3', 'TrmB', 'DDAH_eukar', 'Orn_aminotrans']",1
60,"['TetR_N', 'TetR_C_11', 'efflux_EmrB', 'PE', 'T7SS_ESX_EspC', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'rSAM_BlsE', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1', 'SHOCT', 'DUF4133', 'Phage_holin_2_3', 'EF-Tu', 'EF-G']",1
61,"['TetR_N', 'TetR_C_13', 'MFS_1', 'His_Phos_1', 'mycofact_OYE_2', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'TetR_C_1', 'TetR_N', 'PA_CoA_Oxy5', 'DNA_alkylation', 'SPW', 'TetR_N', 'mycofact_TetR', 'glut_race']",1
62,"['TetR_N', 'TetR_C_20', 'efflux_EmrB', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Malic_M', 'malic']",1
63,"['TetR_N', 'TetR_C_30', 'adh_short', 'adh_short_C2', 'HIBADH', 'Aldedh', 'decarb_PcaC', 'Rv0697', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Fer4_13', 'P450_cycloAA_1', 'SDR_subfam_1', 'COXG', 'GC_trans_RRR']",1
64,"['Stand_Alone_Lasso_RRE', 'SDR_subfam_1', 'Glyoxalase_6', 'Peptidase_S8', 'ASH', 'Fer4_13', 'Fer4_6', 'P450_cycloAA_1', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'ETF_alpha', 'ETF', 'GG-red-SF', 'Fer4_2', 'Fer4', 'mft_etfB', 'SDR_subfam_2']",1
65,"['SpoIIE', 'caca2', 'LysR_substrate', 'HTH_5', 'pyruv_oxi_spxB', 'Mycofactocin_RRE', 'Rxyl_3153']",1
66,"['SnoaL_4', 'HpaI', 'FAD_binding_3', 'DJ-1_PfpI', 'Rv0697', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'mycofact_glyco', 'actino_HemFlav', 'pcaR_pcaU', 'adh_short', 'Epimerase', 'Amidohydro_2']",1
67,"['SHOCT', 'S_4TM', 'SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'PGDH', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'SfLAP', 'TetR_N', 'TetR_C_11']",1
68,"['SHOCT', 'DUF5826', 'DUF6611', 'SDR_subfam_1', 'Pyr_redox_2', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",1
