,domains
WP_015759603.1,"['SpoIIE', 'dCache_1', 'TMEM132D_C']"
WP_042317557.1,['SiaC']
WP_015759605.1,['DUF6272']
WP_015759606.1,['Aldedh']
WP_015759607.1,['NDMA_methanol']
WP_015759608.1,['mycofact_glyco']
WP_015759609.1,['mycofact_rSAM']
WP_015759610.1,['Mycofactocin_RRE']
WP_015759611.1,['mft_etfB']
WP_015759612.1,['Fer4_9']
WP_015759613.1,['GG-red-SF']
WP_015759614.1,"['ETF_alpha', 'ETF']"
WP_015759615.1,['mycofact_OYE_2']
WP_015759616.1,['mycofact_OYE_2']
WP_015759617.1,['mycofactocin']
WP_015759618.1,"['Big_5', 'DUF2680', 'DUF5666']"
WP_041369766.1,"['HisKA_3', 'GAF']"
WP_015746097.1,['Fe-ADH']
WP_015746099.1,['mycofact_creat']
WP_245544900.1,['mycofact_glyco']
WP_015746101.1,['SDR_subfam_2']
WP_015746102.1,['mycofact_TetR']
WP_015746103.1,['mycofactocin']
WP_015746104.1,['Mycofactocin_RRE']
WP_015746105.1,['mycofact_rSAM']
WP_015746106.1,['actino_HemFlav']
WP_015746107.1,['NDMA_methanol']
WP_015746108.1,"['AAA_5', 'RuvB_N']"
WP_015746109.1,"['VWA_CoxE', 'DUF6415']"
WP_041368405.1,['CbiM']
WP_052307796.1,['PDGLE']
WP_015746110.1,['ECF_T_CbiQ']
WP_012852704.1,"['CDF', 'ZT_dimer']"
WP_012852705.1,"['Glyco_hydro_25', 'PG_binding_1']"
WP_012852706.1,['Band_7']
WP_012852707.1,"['TrkA_C', 'NifZ']"
WP_012852708.1,['mycofact_glyco']
WP_012852709.1,['mycofact_creat']
WP_012852710.1,['actino_HemFlav']
WP_012852711.1,['mycofact_rSAM']
WP_012852712.1,['Mycofactocin_RRE']
WP_012852713.1,['mycofactocin']
WP_012852714.1,['Rv0697']
WP_245537035.1,['mycofact_TetR']
WP_012852716.1,['Peptidase_M14']
WP_012852717.1,['Sortase']
WP_012852719.1,['mycofact_TetR']
WP_012852720.1,['adh_short_C2']
WP_012873294.1,['ligK_PcmE']
WP_041400392.1,"['PIG-L', 'mycothiol_MshB']"
WP_012873296.1,['Creatininase']
WP_012873297.1,['AI-2E_transport']
WP_012873298.1,['oxido_grp_1']
WP_012873299.1,['mycofactocin']
WP_012873300.1,['Mycofactocin_RRE']
WP_012873301.1,['mycofact_rSAM']
WP_012873302.1,['mycofact_glyco']
WP_245534924.1,"['gas_vesic_GvpN', 'VWA_CoxE', 'AAA_30']"
WP_012873304.1,['Rxyl_3153']
WP_012873305.1,['actino_HemFlav']
WP_012873306.1,"['AAA_5', 'Cob-chelat-sub', 'bpMoxR', 'VWA_CoxE']"
WP_012873307.1,"['AAA_5', 'AAA_16', 'Cytidylate_kin']"
WP_012873308.1,['SDR_subfam_1']
WP_012950883.1,"['Isochorismatase', 'PqqA']"
WP_208104351.1,['mycofact_creat']
WP_012950885.1,['mycofact_OYE_2']
WP_012950886.1,"['UPF0225', 'SEC-C']"
WP_012950887.1,"['DUF222', 'HNH']"
WP_243697595.1,['Pyrid_ox_like']
WP_208104352.1,['mycofact_OYE_1']
WP_012950890.1,['mycofact_rSAM']
WP_012950891.1,['Mycofactocin_RRE']
WP_012950892.1,['mycofactocin']
WP_041241666.1,['mycofact_TetR']
WP_041241667.1,['VWA_CoxE']
WP_012950894.1,['Aldo_ket_red']
WP_012950895.1,"['Response_reg', 'GerE']"
WP_012950896.1,"['HisKA_3', 'GAF', 'HATPase_c']"
WP_012950897.1,['Fe-ADH']
WP_012950898.1,['am_tr_V_VC1184']
WP_006541647.1,['Methyltransf_19']
WP_006541648.1,['mycofact_TetR']
WP_006541650.1,"['mycofact_glyco', 'KRTAP']"
WP_006541651.1,['SDR_subfam_2']
WP_035952216.1,['mycofact_creat']
WP_006541653.1,['actino_HemFlav']
WP_006541654.1,['mycofact_rSAM']
WP_006541655.1,['Mycofactocin_RRE']
WP_006541656.1,['mycofactocin']
WP_006541657.1,['CO_dehy_Mo_lg']
WP_006541658.1,"['FAD_binding_5', 'CO_deh_flav_C']"
WP_006541659.1,['pucE']
WP_006541660.1,['COXG']
WP_006541661.1,"['SnoaL_4', 'Lumazine_bd_2']"
WP_006541663.1,['ECH_1']
WP_006541664.1,['ADH_N_assoc']
WP_009680794.1,['DegT_DnrJ_EryC1']
WP_009680795.1,['Thiolase_N']
WP_009680796.1,['MaoC_dehydratas']
WP_009680797.1,"['OB_aCoA_assoc', 'DUF35_N']"
WP_009680798.1,['MaoC_dehydrat_N']
WP_009680799.1,['adh_short_C2']
WP_009680800.1,['actino_HemFlav']
WP_009680801.1,['mycofact_rSAM']
WP_009680802.1,['Mycofactocin_RRE']
WP_101841532.1,['mycofactocin']
WP_009680804.1,['mycofact_TetR']
WP_009680805.1,['PA_CoA_Oxy5']
WP_009680806.1,['DoxX_3']
WP_009680807.1,['DNA_alkylation']
WP_175284129.1,"['Pyr_redox_2', 'Reductase_C']"
WP_009680809.1,['DUF6541']
WP_009680810.1,['T7SS_Rv3446c']
WP_049793963.1,['enACPred_II']
WP_013809101.1,['ECH_1']
WP_049793808.1,"['TetR_N', 'betaine_BetI']"
WP_237707849.1,['Abhydrolase_3']
WP_237707850.1,"['Response_reg', 'GerE']"
WP_013809105.1,"['HisKA_3', 'HATPase_c_2', 'ORF_12_N']"
WP_237707979.1,['Fe-ADH']
WP_013809107.1,['mycofactocin']
WP_041451260.1,['Mycofactocin_RRE']
WP_013809109.1,['mycofact_rSAM']
WP_013809110.1,['actino_HemFlav']
WP_158307393.1,['MucB_RseB_C']
WP_013809113.1,['DUF6358']
WP_013809114.1,['DUF6131']
WP_013809115.1,['CsbD']
WP_013809116.1,['DUF6232']
WP_013809145.1,"['XdhC_C', 'XdhC_CoxI']"
WP_013809146.1,"['TetR_N', 'TetR_C_24']"
WP_049793809.1,['DoxX_2']
WP_013809147.1,['mycofact_glyco']
WP_013809148.1,['SDR_subfam_2']
WP_013809149.1,['mycofact_creat']
WP_013809150.1,['actino_HemFlav']
WP_013809151.1,['mycofact_rSAM']
WP_013809152.1,['Mycofactocin_RRE']
WP_083826626.1,['mycofactocin']
WP_013809154.1,['mycofact_TetR']
WP_041452331.1,"['AMP-binding', 'AMP-binding_C']"
WP_041451263.1,['SNF']
WP_013809157.1,['MaAIMP_sms']
WP_237707851.1,"['IclR', 'HTH_IclR']"
WP_013809159.1,['MIP']
WP_013809160.1,['dhaK1']
WP_013873921.1,['B4_12hDH']
WP_013873922.1,"['mft_etfB', 'ETF']"
WP_013873923.1,['Fer4_2']
WP_013873924.1,"['GG-red-SF', 'DAO']"
WP_013873925.1,"['ETF_alpha', 'ETF']"
WP_013873926.1,['mycofact_OYE_2']
WP_013873927.1,['mycofact_OYE_1']
WP_013873928.1,['mycofact_rSAM']
WP_013873929.1,['Mycofactocin_RRE']
WP_013873930.1,['mycofactocin']
WP_013873931.1,['TetR_N']
WP_013873932.1,['CoA_transf_3']
WP_013873933.1,['Peripla_BP_6']
WP_013873934.1,['Peripla_BP_6']
WP_013873936.1,['Peripla_BP_6']
WP_013873937.1,['urea_trans_UrtE']
WP_013873938.1,"['urea_trans_UrtD', 'BPD_transp_2']"
WP_007318869.1,['TarH']
WP_007318870.1,"['Pyr_redox_2', 'Reductase_C']"
WP_007318871.1,['DNA_alkylation']
WP_211600667.1,"['DUF559', 'AbiEi_1']"
WP_007318874.1,['DoxX_3']
WP_040525257.1,['PA_CoA_Oxy5']
WP_007318876.1,['mycofact_TetR']
WP_083837347.1,['mycofactocin']
WP_007318877.1,['Mycofactocin_RRE']
WP_007318878.1,['mycofact_rSAM']
WP_007318879.1,['actino_HemFlav']
WP_007318880.1,['SDR_subfam_1']
WP_007318881.1,['CoA_transf_3']
WP_040525267.1,['mycofact_creat']
WP_007318883.1,['mycofact_glyco']
WP_245549869.1,['GMC_mycofac_2']
WP_007318885.1,['glcD']
WP_009152864.1,['SDR_subfam_2']
WP_009152865.1,['mft_etfB']
WP_009152866.1,"['Fer4_2', 'Fer4']"
WP_009152867.1,['GG-red-SF']
WP_009152868.1,"['ETF_alpha', 'ETF']"
WP_009152869.1,['mycofact_OYE_2']
WP_009152870.1,['mycofact_OYE_1']
WP_009152871.1,['mycofact_rSAM']
WP_009152872.1,['Mycofactocin_RRE']
WP_009152873.1,['mycofactocin']
WP_009152874.1,['mycofact_TetR']
WP_040925567.1,['greA']
WP_232285593.1,"['Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6']"
WP_009152877.1,['ilvD']
WP_040925568.1,"['GSHPx', 'gpx7']"
WP_040926130.1,"['adh_short', 'PHB_DH']"
WP_009152880.1,['CobN-Mg_chel']
WP_014378460.1,['mycofact_glyco']
WP_014378461.1,"['Isochorismatase', 'PqqA']"
WP_014378462.1,['Peripla_BP_2']
WP_014378463.1,['mycofact_creat']
WP_014378464.1,"['UPF0225', 'SEC-C']"
WP_041776861.1,['Pyrid_ox_like']
WP_014378466.1,['mycofact_rSAM']
WP_014378467.1,['Mycofactocin_RRE']
WP_083878196.1,['mycofactocin']
WP_014378469.1,['mycofact_TetR']
WP_014378470.1,['actino_HemFlav']
WP_014378471.1,['FAD_binding_3']
WP_014378472.1,['Rxyl_3153']
WP_014378473.1,['gas_vesic_GvpN']
WP_014378474.1,['Cob-chelat-sub']
WP_014442830.1,"['GGDEF', 'PIG-P']"
WP_014442831.1,['Flavin_Reduct']
WP_014442832.1,"['HTH_18', 'AraC_binding_2']"
WP_014442833.1,"['MFS_1', '2_A_01_02']"
WP_014442834.1,['mycofact_glyco']
WP_014442835.1,['mycofact_creat']
WP_014442836.1,['actino_HemFlav']
WP_014442837.1,['mycofact_rSAM']
WP_014442838.1,['Mycofactocin_RRE']
WP_014442839.1,['mycofactocin']
WP_014442841.1,['Bac_luciferase']
WP_014442842.1,['SDR_subfam_1']
WP_014442843.1,['hemL']
WP_014442844.1,['protocat_pcaD']
WP_014442845.1,"['FMO-like', 'DUF5710']"
WP_014442846.1,['Flavin_Reduct']
WP_041829741.1,['Cupin_3']
WP_003923353.1,['EF-G']
WP_003923354.1,['EF-Tu']
WP_003923355.1,['SHOCT']
WP_003923356.1,['SDR_subfam_1']
WP_039891438.1,"['Pyr_redox_2', 'Reductase_C']"
WP_003923358.1,['DUF2332']
WP_003923359.1,['mycofact_TetR']
WP_039891439.1,['mycofactocin']
WP_003923362.1,['Mycofactocin_RRE']
WP_003923363.1,['mycofact_rSAM']
WP_003923364.1,['actino_HemFlav']
WP_003923365.1,['mycofact_creat']
WP_003923367.1,['mycofact_glyco']
WP_003923368.1,['Rv0697']
WP_003923369.1,['efflux_EmrB']
WP_232061861.1,"['TetR_N', 'mycofact_TetR', 'RelB']"
WP_003923370.1,['P450_cycloAA_1']
WP_014814223.1,['DDAH_eukar']
WP_014814224.1,"['HTH_24', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_11']"
WP_014814225.1,['Pyr_redox_2']
WP_014814226.1,['DUF222']
WP_014814227.1,['Glyoxalase_6']
WP_014814228.1,['Sig70_famx2']
WP_041782542.1,['mycofact_TetR']
WP_081495129.1,['mycofactocin']
WP_014814231.1,['Mycofactocin_RRE']
WP_014814232.1,['mycofact_rSAM']
WP_014814233.1,['actino_HemFlav']
WP_041781741.1,['mycofact_creat']
WP_014814235.1,['mycofact_glyco']
WP_014814236.1,['Rv0697']
WP_014814237.1,['efflux_EmrB']
WP_014814238.1,"['TetR_N', 'TetR_C_11']"
WP_014814239.1,['CYP450_TxtE']
WP_083849770.1,['Whib']
WP_009476063.1,['DUF3562']
WP_192817840.1,['amidohydrolases']
WP_009476066.1,['Gly_transporter']
WP_063720697.1,"['TetR_N', 'TetR_C_11']"
WP_009476068.1,['SPW']
WP_009476071.1,"['TetR_C_11', 'HTH_IclR']"
WP_009476072.1,['Mycofactocin_RRE']
WP_009476076.1,['DUF883_C']
WP_009476078.1,['FAD_binding_2']
WP_009476080.1,['DDE_5']
WP_043779901.1,"['CBS', 'BON']"
WP_040531016.1,['Rv1155_F420']
WP_006332451.1,['mycofact_glyco']
WP_006332452.1,['mycofact_creat']
WP_040531048.1,['CoA_transf_3']
WP_040531019.1,['SDR_subfam_1']
WP_006332455.1,['actino_HemFlav']
WP_006332457.1,['mycofact_rSAM']
WP_040531021.1,['Mycofactocin_RRE']
WP_083877241.1,['mycofactocin']
WP_006332464.1,['mycofact_TetR']
WP_006332465.1,['PA_CoA_Oxy5']
WP_006332466.1,"['DoxX_3', 'DoxX']"
WP_006332467.1,['DNA_alkylation']
WP_006332468.1,"['Pyr_redox_2', 'Reductase_C']"
WP_006332470.1,['AOX']
WP_198344999.1,['Orn_aminotrans']
WP_015304999.1,['DDAH_eukar']
WP_015305000.1,"['HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'TrmB']"
WP_015305001.1,"['Pyr_redox_2', 'Reductase_C']"
WP_015305002.1,['Glyoxalase_6']
WP_015305003.1,['Sig70_famx2']
WP_041313241.1,['mycofact_TetR']
WP_015305005.1,['mycofactocin']
WP_015305006.1,['Mycofactocin_RRE']
WP_015305007.1,['mycofact_rSAM']
WP_015305008.1,['actino_HemFlav']
WP_015305009.1,['mycofact_creat']
WP_015305010.1,['mycofact_glyco']
WP_015305011.1,['Rv0697']
WP_015305012.1,['efflux_EmrB']
WP_015305013.1,"['TetR_N', 'TetR_C_11']"
WP_041311343.1,['CYP450_TxtE']
WP_005170126.1,['Pyr_redox_2']
WP_040517499.1,['DNA_alkylation']
WP_005170132.1,['Voltage_CLC']
WP_005170133.1,['DoxX_3']
WP_005170134.1,['PA_CoA_Oxy5']
WP_005170135.1,['LIP']
WP_040517502.1,['mycofact_TetR']
WP_245551809.1,['mycofactocin']
WP_005170140.1,['Mycofactocin_RRE']
WP_005170141.1,['mycofact_rSAM']
WP_005170143.1,['actino_HemFlav']
WP_005170146.1,['SDR_subfam_1']
WP_005170149.1,['CoA_transf_3']
WP_005170150.1,['mycofact_creat']
WP_005170153.1,['mycofact_glyco']
WP_005170155.1,['GMC_mycofac_2']
WP_005170157.1,['FCD']
WP_007619261.1,['GMC_mycofac_2']
WP_007619262.1,['mycofact_glyco']
WP_007619263.1,['mycofact_creat']
WP_007619269.1,['CoA_transf_3']
WP_007619271.1,"['Glycos_transf_2', 'PgaC_IcaA']"
WP_007619273.1,['SDR_subfam_1']
WP_007619275.1,['actino_HemFlav']
WP_007619277.1,"['mycofact_rSAM', 'zf-RAG1']"
WP_007619279.1,['Mycofactocin_RRE']
WP_007619281.1,['mycofactocin']
WP_040509902.1,"['mycofact_TetR', 'HTH_8']"
WP_007619289.1,['PA_CoA_Oxy5']
WP_007619294.1,['DoxX_3']
WP_007619296.1,['DNA_alkylation']
WP_007619298.1,"['Pyr_redox_2', 'Reductase_C']"
WP_007619299.1,['DUF6550']
WP_007619300.1,['Phage_tail_APC']
WP_154723526.1,"['Peptidase_M16_C', 'Propep_M14']"
WP_015443067.1,['cysG_Nterm']
WP_231897605.1,['APS_reductase']
WP_015443069.1,['sir']
WP_015443070.1,['cobA_cysG_Cterm']
WP_015443071.1,['MOSC_N']
WP_015443072.1,['amidohydrolases']
WP_070105291.1,['mycofactocin']
WP_015443073.1,['Mycofactocin_RRE']
WP_015443074.1,['mycofact_rSAM']
WP_041298412.1,"['Beta_helix', 'NosD_copper_fam']"
WP_041298413.1,"['Beta_helix', 'NosD_copper_fam']"
WP_162142106.1,['G3P_acyltransf']
WP_015443078.1,['adh_short_C2']
WP_051071485.1,['Glyoxalase']
WP_015443080.1,"['AMP-binding', 'AMP-binding_C']"
WP_015443081.1,['DLH']
WP_083884316.1,['PRAI']
WP_040798719.1,['MbtH']
WP_040798720.1,"['AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'D-ala-DACP-lig', 'menE', 'PP-binding', 'Thioesterase']"
WP_245546014.1,"['AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'D-ala-DACP-lig', 'DHB_AMP_lig', 'PP-binding']"
WP_040798724.1,"['GAF', 'GAF_2', 'PaaX']"
WP_040798726.1,['Rv0697']
WP_040798728.1,['mycofact_glyco']
WP_083884317.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_083884318.1,['mycofactocin']
WP_245546016.1,['TetR_C_1']
WP_040798730.1,['PA_CoA_Oxy5']
WP_040798732.1,['DNA_alkylation']
WP_040798734.1,['glut_race']
WP_040798736.1,['PGA_cap']
WP_083884319.1,['Pyr_redox_2']
WP_040798738.1,['SPW']
WP_083911305.1,['Rce1-like']
WP_040706258.1,['NAD_binding_10']
WP_040706259.1,['cyc_hxne_CoA_dh']
WP_040706261.1,"['TetR_N', 'TetR_C_33']"
WP_040706263.1,"['AHSA1', 'Polyketide_cyc2']"
WP_040706264.1,"['HTH_20', 'HTH_24']"
WP_040706265.1,['mycofact_rSAM']
WP_040706267.1,['Mycofactocin_RRE']
WP_063719861.1,['mycofactocin']
WP_040706268.1,['Hemerythrin']
WP_245553998.1,"['BTAD', 'TOMM_kin_cyc', 'AAA_16', 'Trans_reg_C', 'HlyD_D4', 'mobB']"
WP_245553997.1,['SGNH']
WP_040706270.1,['RPE65']
WP_040706272.1,['DUF397']
WP_040706274.1,['Methyltransf_19']
WP_020499225.1,['cyc_hxne_CoA_dh']
WP_020499226.1,"['MmgE_PrpD', 'MmgE_PrpD_C']"
WP_020499227.1,['PDH_E1_alph_x']
WP_020499228.1,"['Transket_pyr', 'Transketolase_C']"
WP_020499229.1,['SucB_Actino']
WP_020499230.1,['DUF533']
WP_020499231.1,['mycofact_TetR']
WP_020499232.1,['mycofactocin']
WP_083933808.1,['Mycofactocin_RRE']
WP_020499234.1,['mycofact_rSAM']
WP_020499235.1,['actino_HemFlav']
WP_020499236.1,['mycofact_creat']
WP_020499237.1,['SDR_subfam_2']
WP_240437667.1,['mycofact_glyco']
WP_020499241.1,['DUF1656']
WP_039826842.1,['SGL']
WP_157181842.1,['HpaG-C-term']
WP_245564154.1,"['SBP_bac_1', 'TAT_signal']"
WP_039826844.1,['PhnU2']
WP_039826845.1,['BPD_transp_1']
WP_039826846.1,['AAA_16']
WP_039826847.1,['Rv0697']
WP_039826848.1,['mycofact_glyco']
WP_083873011.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_083873012.1,['mycofactocin']
WP_245564155.1,['TetR_N']
WP_039826849.1,['PA_CoA_Oxy5']
WP_039826850.1,['FAD_oxidored']
WP_218000821.1,"['MFS_1', 'HpaX']"
WP_039826851.1,"['TF_pcaQ', 'MarR']"
WP_039826852.1,['glut_race']
WP_039826853.1,['Pyr_redox_2']
WP_043658326.1,"['DUF1254', 'DUF1214']"
WP_043658329.1,['MbtH']
WP_043658331.1,"['AA-adenyl-dom', 'alpha_am_amid', 'cyc_hxne_CoA_lg']"
WP_245558190.1,"['AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding']"
WP_245558191.1,['GAF']
WP_245558192.1,['Rv0697']
WP_043658336.1,['mycofact_glyco']
WP_085999695.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_083885384.1,['mycofactocin']
WP_052314321.1,['TetR_C_1']
WP_043658339.1,['PA_CoA_Oxy5']
WP_043658450.1,['DNA_alkylation']
WP_043658452.1,['glut_race']
WP_043658342.1,"['Pyr_redox_2', 'Reductase_C']"
WP_043658344.1,['SPW']
WP_043658347.1,['TetR_N']
WP_020518105.1,['mycofact_TetR']
WP_020518106.1,['actino_HemFlav']
WP_020518107.1,['SDR_subfam_1']
WP_245577679.1,['mycofact_TetR']
WP_020518109.1,['mycofact_glyco']
WP_020518110.1,['mycofact_creat']
WP_020518111.1,['actino_HemFlav']
WP_020518112.1,['mycofact_rSAM']
WP_020518113.1,['Mycofactocin_RRE']
WP_020518114.1,['mycofactocin']
WP_020518115.1,['Rv0697']
WP_020518117.1,['Transgly_assoc']
WP_084699531.1,['ant_ant_sig']
WP_020518119.1,['DoxX']
WP_020518120.1,['Nitroreductase']
WP_020518121.1,"['Ricin_B_lectin', 'Cellulase']"
WP_040718651.1,['NDMA_methanol']
WP_040718652.1,"['AAA_5', 'Sigma54_activ_2', '26Sp45']"
WP_040718653.1,['VWA_CoxE']
WP_040718654.1,['Methyltransf_25']
WP_210742622.1,['mycofact_glyco']
WP_040718656.1,['SDR_subfam_2']
WP_040718657.1,['actino_HemFlav']
WP_040718658.1,['mycofact_rSAM']
WP_040718660.1,['Mycofactocin_RRE']
WP_245553139.1,['mycofactocin']
WP_051031420.1,['Fe-ADH']
WP_040718661.1,"['HisKA_3', 'GAF_2', 'DUF2604']"
WP_040718662.1,"['Response_reg', 'GerE', 'Trans_reg_C']"
WP_040718663.1,['mycofact_creat']
WP_040718664.1,"['Cupin_6', 'HTH_18']"
WP_040718666.1,['Flavodoxin_2']
WP_040718667.1,['DUF664']
WP_232020047.1,"['Cutinase', 'formate_TAT']"
WP_026213525.1,['SDR_subfam_1']
WP_018354898.1,"['Pyr_redox_2', 'Reductase_C']"
WP_018354899.1,['Glyoxalase_6']
WP_005625394.1,['sigma70-ECF']
WP_005625395.1,"['Malic_M', 'malic']"
WP_005625396.1,['mycofact_TetR']
WP_018354900.1,['mycofactocin']
WP_005625398.1,['Mycofactocin_RRE']
WP_026213528.1,['mycofact_rSAM']
WP_005625402.1,['actino_HemFlav']
WP_018354901.1,['mycofact_creat']
WP_018354902.1,['mycofact_glyco']
WP_018354903.1,['Rv0697']
WP_005625406.1,['efflux_EmrB']
WP_005625407.1,"['TetR_N', 'TetR_C_20']"
WP_005625408.1,['P450_cycloAA_1']
WP_020378748.1,"['ELFV_dehydrog', 'ELFV_dehydrog_N']"
WP_020378749.1,['RPE65']
WP_020378750.1,['acyl_WS_DGAT']
WP_020378751.1,['BD-FAE']
WP_051012007.1,['VWA_CoxE']
WP_012226369.1,['AAA_5']
WP_012226367.1,['Rxyl_3153']
WP_012226365.1,['mycofactocin']
WP_202948845.1,['Mycofactocin_RRE']
WP_012226361.1,['mycofact_rSAM']
WP_020378754.1,['mycofact_OYE_1']
WP_020378755.1,['mycofact_OYE_2']
WP_012226355.1,['pyrE']
WP_031278665.1,['fpg']
WP_012226351.1,['Bac_luciferase']
WP_020378757.1,['Aldedh']
WP_083914757.1,['mycofactocin']
WP_040493779.1,['Mycofactocin_RRE']
WP_040493781.1,['mycofact_rSAM']
WP_051062885.1,['G3P_acyltransf']
WP_040493783.1,['adh_short_C2']
WP_040493785.1,"['AMP-binding', 'AMP-binding_C']"
WP_040493787.1,['DLH']
WP_206537684.1,['Methyltransf_11']
WP_040493789.1,['APH']
WP_018505459.1,['OB_aCoA_assoc']
WP_018505801.1,['Thiolase_N']
WP_018505802.1,"['TetR_N', 'TetR_C_6']"
WP_018505803.1,"['F420_MSMEG_4879', 'LYTB']"
WP_020572812.1,['Aldedh']
WP_018505805.1,['mycofactocin']
WP_026240363.1,['Mycofactocin_RRE']
WP_018505807.1,['mycofact_rSAM']
WP_018505808.1,['actino_HemFlav']
WP_154677338.1,['mycofact_creat']
WP_020572813.1,['SDR_subfam_2']
WP_018505811.1,['mycofact_glyco']
WP_018505812.1,['mycofact_TetR']
WP_018505813.1,['CO_dehy_Mo_lg']
WP_018505814.1,['COXG']
WP_017593151.1,['mft_etfB']
WP_017593152.1,"['Fer4_2', 'Fer4']"
WP_017593153.1,"['GG-red-SF', 'DAO']"
WP_241485004.1,['ETF_alpha']
WP_017593155.1,['mycofact_OYE_2']
WP_017593156.1,['mycofact_OYE_1']
WP_017593157.1,['mycofact_rSAM']
WP_017593158.1,['Mycofactocin_RRE']
WP_017593159.1,['mycofactocin']
WP_017593160.1,['mycofact_TetR']
WP_017593161.1,['Uma2']
WP_017593162.1,['SoxH_rel_PQQ_2']
WP_017593163.1,['P450_rel_GT_act']
WP_081620538.1,"['CDF', 'PSD2']"
WP_026120294.1,['HTH_5']
WP_017593166.1,"['MFS_1', '2A0114']"
WP_083865142.1,['Flavin_Reduct']
WP_245547396.1,"['MerR_1', 'MerR', 'Glyoxalase']"
WP_040838356.1,['selen_ocin']
WP_040838358.1,"['TetR_N', 'TetR_C_24', 'HTH_AraC']"
WP_157228951.1,['Ribosomal_L4']
WP_040838360.1,['Rv0697']
WP_040838362.1,['mycofact_glyco']
WP_083865143.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_083865144.1,['mycofactocin']
WP_051163133.1,"['TetR_C_1', 'TetR_N']"
WP_040838424.1,['PA_CoA_Oxy5']
WP_040838363.1,['PhdYeFM_antitox']
WP_157228952.1,['PIN']
WP_040838367.1,['glut_race']
WP_040838426.1,['Pyr_redox_2']
WP_040838369.1,['SPW']
WP_017936740.1,['phn_lysR']
WP_198290044.1,['CoA_transf_3']
WP_017936745.1,['Aldedh']
WP_017936746.1,['SDR_subfam_1']
WP_017936747.1,['HIBADH']
WP_017936748.1,['3oxo_ACP_reduc']
WP_017936749.1,"['mycofact_TetR', 'Sigma70_r4', 'Sigma70_r4_2']"
WP_017936750.1,['mycofactocin']
WP_017936751.1,['mycofact_rSAM']
WP_017936752.1,['actino_HemFlav']
WP_017936753.1,['mycofact_creat']
WP_017936754.1,['SDR_subfam_2']
WP_017936755.1,['mycofact_glyco']
WP_017936756.1,['SDR_subfam_1']
WP_017936757.1,['TetR_N']
WP_017936758.1,['APH']
WP_017936759.1,['cyc_hxne_CoA_dh']
