,domains
WP_083760118.1,['TIGR03969']
WP_011566069.1,"['N6_N4_Mtase', 'TIGR01177', 'KCNQ2_u3', 'UPF0020', 'Methyltransf_11', 'Methyltransf_25', 'Cons_hypoth95', 'MethyltransfD12', 'Methyltransf_8']"
WP_198004859.1,"['TIGR02119', 'TIGR03648']"
WP_041329379.1,"['DUF3311', 'Rod_cone_degen']"
WP_198004860.1,"['4HBT_2', '4HBT', 'TIGR00051', 'TIGR02799', 'Acyl-ACP_TE', 'Oxidoreduct_C']"
WP_011566073.1,"['TPR_2', 'TIGR02917', 'TPR_16', 'TPR_1', 'TPR_14', 'TIGR02521', 'TPR_8', 'TPR_17', 'TPR_19', 'TPR_12', 'TPR_11', 'TIGR02552', 'TPR_7', 'TIGR00540', 'TPR_9', 'TIGR02795', 'TPR_4', 'TIGR03939', 'TIGR00990', 'TPR_10', 'ANAPC3', 'TPR_6', 'TPR_20', 'TIGR04510', 'TPR_15', 'NatA_aux_su', 'TPR-S', 'TPR_MalT', 'PknG_TPR', 'BTAD', 'Alkyl_sulf_dimr', 'Coatomer_E', 'TAtT', 'TIGR03302', 'DUF3856', 'DUF4192', 'TPR_3', 'DUF4810', 'FAT', 'PPR', 'TIGR00756', 'EAD11', 'MIT']"
WP_156787788.1,['DUF4131']
WP_011940367.1,"['TIGR03965', 'Glycos_transf_2', 'TIGR04283', 'Glyco_tranf_2_3', 'TIGR03937', 'Glyco_tranf_2_2', 'TIGR03111', 'TIGR03030', 'TIGR03469', 'TIGR03472', 'TIGR04242', 'Glyco_trans_2_3', 'Glyco_transf_21', 'TIGR04182', 'TIGR04440', 'DUF6463', 'Glyco_transf_7C', 'ThrE', 'GNT-I', 'Anp1', 'Glyco_tranf_2_5']"
WP_011940368.1,"['ETF', 'TIGR04503']"
WP_011940369.1,"['Fer4_2', 'Fer4_9', 'TIGR01582', 'TIGR03294', 'TIGR04105', 'Fer4_7', 'TIGR02936', 'TIGR04395', 'Fer4_4', 'Fer4_6', 'Fer4_10', 'TIGR02951', 'ETF_QO', 'TIGR02179', 'Fer4_21', 'TIGR02700', 'TIGR02494', 'TIGR02066', 'TIGR03336', 'TIGR00402', 'TIGR02060', 'Fer4', 'Fer4_16', 'TIGR03149', 'TIGR03224', 'TIGR02163', 'TIGR03287', 'TIGR04041', 'TIGR04270', 'TIGR04003', 'TIGR00403', 'TIGR02912', 'TIGR02512', 'Fer4_3', 'TIGR01971', 'Fer4_17', 'TIGR01660', 'Fer4_8']"
WP_011940370.1,"['TIGR02032', 'TIGR01988', 'DAO', 'FAD_binding_3', 'TIGR02028', 'FAD_oxidored', 'GIDA', 'Pyr_redox_2', 'FAD_binding_2', 'TIGR00292', 'TIGR01984', 'Thi4', 'HI0933_like', 'TIGR00275', 'TIGR03140', 'TIGR01816', 'NAD_binding_8', 'TIGR01350', 'TIGR01790', 'TIGR03997', 'Lycopene_cycl', 'TIGR01292', 'TIGR03315', 'TIGR01372', 'TIGR02352', 'TIGR03996', 'TIGR03377', 'TIGR03467', 'TIGR02734', 'TIGR01813', 'Pyr_redox', 'TIGR03143', 'TIGR04018', 'TIGR02360', 'Trp_halogenase', 'Pyr_redox_3', 'TIGR01812', 'TIGR03197', 'TIGR01373', 'TIGR02053', 'TIGR01316', 'TIGR01317', 'TIGR00136', 'TIGR03364', 'TIGR01377', 'TIGR03378', 'TIGR04542', '3HCDH_N', 'TIGR01318', 'TIGR02733', 'TIGR02732', 'TIGR00137', 'TIGR00551']"
WP_011940371.1,"['ETF_alpha', 'ETF']"
WP_011940372.1,"['TIGR03997', 'Pyr_redox_2', 'TIGR01317', 'TIGR03315', 'FAD_oxidored', 'NAD_binding_8', 'TIGR01372', 'HI0933_like', 'TIGR01316', 'TIGR00275', 'TIGR01318', 'TIGR03140', 'TIGR01350', 'Pyr_redox', 'TIGR01292', 'DAO', 'TIGR02053', 'AlaDh_PNT_C', 'TIGR03467', 'FAD_binding_3', 'TIGR00737', 'FAD_binding_2', 'TIGR02032', 'TIGR03364', 'TIGR00292', 'GIDA', 'Thi4', 'TIGR03385', 'TIGR02023', 'Pyr_redox_3', 'TIGR00518', 'TIGR03197', 'TIGR03143', 'Dus', 'Peripla_BP_2', 'Trp_halogenase', 'TIGR02733', 'TIGR01813', 'TIGR02734', 'TIGR02731', 'TIGR02028', '3HCDH_N']"
WP_011940373.1,"['TIGR03962', 'TIGR04545', 'TIGR04303', 'TIGR04055', 'TIGR02109', 'TIGR04053', 'TIGR04250', 'TIGR04051', 'TIGR04103', 'TIGR04347', 'TIGR04133', 'TIGR03913', 'TIGR04054', 'TIGR04546', 'TIGR04340', 'Radical_SAM', 'TIGR02666', 'TIGR04082', 'TIGR04317', 'TIGR02668', 'TIGR04251', 'TIGR03961', 'TIGR04163', 'TIGR03942', 'TIGR04403', 'TIGR04083', 'TIGR04167', 'TIGR03470', 'TIGR04466', 'TIGR04080', 'TIGR03974', 'TIGR04280', 'TIGR04463', 'TIGR04064', 'TIGR04085', 'TIGR04311', 'TIGR04084', 'TIGR04068', 'TIGR04321', 'TIGR03977', 'SPASM', 'TIGR03906', 'TIGR04334', 'TIGR03978', 'TIGR04304', 'TIGR02493', 'TIGR04115', 'TIGR02495', 'TIGR03963', 'TIGR04041', 'Fer4_12', 'TIGR04261', 'TIGR04278', 'TIGR04038', 'TIGR04148', 'TIGR03972', 'TIGR04078', 'Fer4_14', 'TIGR02494', 'TIGR04269', 'TIGR04349', 'TIGR04478', 'TIGR04508', 'TIGR04150', 'TIGR03365', 'TIGR04426', 'Thioredoxin_7', 'TIGR04136', 'TIGR04395']"
WP_011940374.1,"['Mycofactocin_RRE', 'TIGR03967', 'Thiopeptide_F_RRE', 'TIGR00013', 'Tautomerase']"
WP_083764939.1,['TIGR03969']
WP_011940375.1,"['HD', 'HD_5', 'TIGR00277', 'SHOCT', 'sCache_3_2', 'Helicase_C_3']"
WP_011940376.1,"['TIGR02481', 'TIGR00058', 'Hemerythrin', 'TIGR02301']"
WP_011940377.1,"['HD', 'TIGR00277', 'TIGR02621', 'HDOD', 'TIGR03276', 'TIGR03319', 'HD_5', 'TIGR03401', 'TIGR01596']"
WP_041245547.1,"['sCache_2', 'dCache_2']"
WP_011940378.1,"['TIGR02966', 'TIGR00229', 'PAS_4', 'TIGR02956', 'TIGR02916', 'TIGR02938', 'HATPase_c', 'PAS_9', 'TIGR01386', 'PAS', 'HisKA', 'PAS_3', 'PAS_8', 'TIGR03785', 'TIGR02040', 'TIGR01925', 'PAS_11', 'DivIC']"
WP_011940379.1,"['VWA_CoxE', 'FAM167']"
WP_169302318.1,"['TIGR02605', 'Zn-ribbon_8', 'HypA', 'Prok-RING_1', 'TF_Zn_Ribbon', 'DNA_RNApol_7kD', 'UPF0547', 'TIGR04104', 'DUF1178', 'DZR', 'HVO_2753_ZBP', 'zf-HYPF', 'Rubredoxin_2', 'OrfB_Zn_ribbon', 'TIGR04165', 'RNA_POL_M_15KD', 'zinc_ribbon_4', 'Zn_Tnp_IS91', 'Rubredoxin', 'zf-H2C2_2', 'FYDLN_acid', 'TFIIS_C', 'Zn_ribbon_SprT', 'TIGR03676', 'GAGA', 'zf-C2H2', 'zf-C2H2_4', 'Zn_Tnp_IS1595', 'zf-ribbon_3', 'NRDD', 'zf-RING_7', 'TIGR01384', 'TIGR02159', 'zinc_ribbon_2', 'zf-IS66']"
WP_012643256.1,"['DUF302', 'DEK_C', 'Lyase_8_C']"
WP_012642407.1,"['Rhodanese', 'TIGR03413', 'Lactamase_B', 'TIGR03167', 'TIGR04271', 'TIGR02981', 'TIGR04568', 'TIGR03865', 'TIGR04559', 'DUF350', 'Lactamase_B_2', 'TIGR03307']"
WP_012643054.1,"['Rhodanese', 'TIGR02981', 'TIGR04271', 'TIGR03167', 'TIGR04568', 'TIGR03865']"
WP_012643163.1,"['Pyr_redox_2', 'Reductase_C', 'TIGR01350', 'Pyr_redox', 'TIGR02053', 'TIGR03452', 'TIGR03169', 'TIGR01292', 'TIGR01424', 'TIGR01421', 'Pyr_redox_3', 'TIGR01316', 'TIGR03140', 'TIGR01423', 'TIGR01372', 'TIGR03143', 'FAD_binding_2', 'DAO', 'NAD_binding_8', 'TIGR01317', 'AlaDh_PNT_C', 'TIGR02352', 'FAD_oxidored', 'Lys_Orn_oxgnase', 'TIGR03997', 'TIGR04369', 'TIGR01438', 'TIGR04018', 'GIDA', 'NAD_binding_7', 'NAD_binding_9', 'HI0933_like', 'TIGR00136', 'Lycopene_cycl', 'TIGR03197', 'TIGR03315', 'TIGR01790', 'TIGR00551', 'TIGR01813', 'AdoHcyase_NAD', 'TIGR02734', 'TIGR00275', '3HCDH_N', 'TIGR00936', 'TIGR03364', 'Trp_halogenase']"
WP_012643096.1,"['zf-CDGSH', 'Rieske', 'TIGR02377', 'Rieske_2', 'TIGR02378', 'TIGR01416']"
WP_012643085.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'TIGR04283', 'TIGR03937', 'Glyco_trans_2_3', 'Glyco_tranf_2_2', 'TIGR04242', 'TIGR03111', 'TIGR03469', 'TIGR03472', 'TIGR03030', 'Glyco_transf_21', 'TIGR04440', 'TIGR04017']"
WP_012643017.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04053', 'TIGR04303', 'TIGR04054', 'TIGR04347', 'TIGR04051', 'TIGR04546', 'TIGR02109', 'TIGR04133', 'TIGR04250', 'TIGR03913', 'TIGR04103', 'TIGR04251', 'TIGR04082', 'TIGR02666', 'Radical_SAM', 'TIGR04317', 'TIGR04340', 'TIGR02668', 'TIGR03942', 'TIGR03974', 'TIGR04064', 'TIGR04163', 'TIGR03470', 'TIGR04403', 'TIGR04321', 'TIGR04311', 'TIGR04167', 'TIGR03961', 'TIGR04085', 'TIGR04083', 'TIGR04466', 'TIGR04080', 'TIGR04261', 'TIGR04084', 'SPASM', 'TIGR03906', 'TIGR03977', 'TIGR04280', 'TIGR04304', 'TIGR03978', 'TIGR04068', 'TIGR04463', 'TIGR02495', 'TIGR04278', 'Fer4_12', 'TIGR04269', 'Fer4_14', 'TIGR03963', 'TIGR04334', 'TIGR04508', 'TIGR04478', 'TIGR04349', 'TIGR04115', 'TIGR04148', 'TIGR04041', 'TIGR03365', 'TIGR04426', 'TIGR04078', 'TIGR02493', 'TIGR04119', 'TIGR03972', 'DUF2701']"
WP_226980745.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_012642828.1,['TIGR03969']
WP_012642824.1,"['TIGR03989', 'ADH_N', 'TIGR03201', 'TIGR03366', 'ADH_zinc_N', 'TIGR02824', 'TIGR02819', 'TIGR02822', 'TIGR01202', 'TIGR01751', 'TIGR02823', 'TIGR02817', 'ADH_zinc_N_2', 'zf_UBZ', 'AlaDh_PNT_C']"
WP_012642495.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'NMO', 'IMPDH', 'TIGR01302', 'Glu_synthase', 'TIGR03151', 'ThiG', 'TIGR01304', 'His_biosynth', 'DHO_dh', 'TIGR00007', 'G3P_antiterm', 'TIGR01306', 'TIGR01037', 'TIGR01305', 'TIGR01303']"
WP_012642936.1,"['TIGR03989', 'TIGR00692', 'TIGR03201', 'TIGR03366', 'ADH_N', 'ADH_zinc_N', 'TIGR02824', 'TIGR02819', 'TIGR02822', 'TIGR01751', 'TIGR01202', 'TIGR02817', 'ADH_zinc_N_2', 'AlaDh_PNT_C', '2-Hacid_dh_C', 'RcpC', 'TrkA_N', 'ApbA']"
WP_012642887.1,['TIGR01354']
WP_012642693.1,['DUF6228']
WP_012642731.1,"['Amidase', 'TIGR00132', 'TIGR02715', 'TIGR02713', 'Tnp_DNA_bind', 'Peptidase_M19', 'TraC']"
WP_242652490.1,"['GGDEF', 'TIGR00254', 'HD_5', 'HD']"
WP_015759603.1,"['SpoIIE', 'dCache_1', 'TMEM132D_C']"
WP_042317557.1,"['SiaC', 'DUF4268', 'TIGR03699']"
WP_015759605.1,['DUF6272']
WP_015759606.1,"['Aldedh', 'TIGR02288', 'TIGR02518']"
WP_015759607.1,"['TIGR04266', 'Fe-ADH', 'TIGR02638', 'TIGR03405', 'Fe-ADH_2', 'ZnuA']"
WP_015759608.1,"['TIGR03965', 'Glycos_transf_2', 'TIGR04283', 'Glyco_tranf_2_3', 'Glyco_tranf_2_2', 'TIGR03937', 'TIGR03111', 'TIGR04242', 'Glyco_trans_2_3', 'TIGR01556', 'TIGR03030', 'Glyco_transf_21', 'TIGR03469', 'TIGR03472', 'TIGR04195', 'TIGR04182', 'TIGR04440', 'TIGR04009', 'TIGR04017', 'GNT-I', 'Glyco_transf_7C']"
WP_015759609.1,"['TIGR03962', 'TIGR04545', 'TIGR04250', 'TIGR04053', 'TIGR04055', 'TIGR04054', 'TIGR04303', 'TIGR02109', 'TIGR04051', 'TIGR04347', 'TIGR04546', 'TIGR04133', 'TIGR04317', 'TIGR04251', 'TIGR02668', 'TIGR04340', 'TIGR02666', 'TIGR04103', 'TIGR03913', 'TIGR03942', 'TIGR04082', 'Radical_SAM', 'TIGR04163', 'TIGR03961', 'TIGR04321', 'TIGR04080', 'TIGR04085', 'TIGR04167', 'TIGR04083', 'TIGR04084', 'TIGR04304', 'TIGR04403', 'TIGR04311', 'TIGR04466', 'TIGR04064', 'TIGR03974', 'TIGR03470', 'SPASM', 'TIGR03977', 'TIGR04280', 'TIGR03906', 'Fer4_12', 'TIGR04463', 'TIGR04478', 'TIGR03963', 'TIGR04278', 'TIGR04148', 'TIGR04068', 'TIGR04136', 'TIGR03978', 'TIGR04334', 'TIGR04261', 'TIGR02495', 'TIGR04496', 'TIGR02493', 'Fer4_14', 'TIGR04115', 'TIGR03365', 'TIGR02494', 'TIGR04150', 'TIGR02826', 'TIGR04038', 'TIGR03820', 'TIGR03972', 'TIGR04349', 'TIGR02491', 'Bcl-2_3', 'TIGR04269', 'TIGR04337']"
WP_015759610.1,"['Mycofactocin_RRE', 'TIGR03967', 'Big_11']"
WP_015759611.1,"['TIGR04503', 'ETF', 'Usp']"
WP_015759612.1,"['Fer4_9', 'Fer4_21', 'ETF_QO', 'Fer4_2', 'TIGR04395', 'Fer4_7', 'Fer4_6', 'Fer4', 'TIGR02179', 'Fer4_10', 'TIGR04105', 'TIGR03287', 'TIGR01582', 'TIGR02060', 'TIGR04041', 'TIGR02700', 'Fer4_16', 'TIGR02951', 'TIGR03336', 'TIGR03294', 'TIGR02912', 'TIGR02494', 'Fer4_17', 'Fer4_4', 'TIGR00384', 'TIGR02512', 'TIGR02163', 'TIGR02745', 'TIGR02936', 'TIGR03149', 'TIGR01945', 'TIGR02066', 'TIGR04270', 'Fer4_13', 'Ribosomal_S27', 'Fer4_8']"
WP_015759613.1,"['TIGR02032', 'DAO', 'FAD_binding_3', 'TIGR02028', 'TIGR01988', 'FAD_oxidored', 'Trp_halogenase', 'FAD_binding_2', 'Pyr_redox_2', 'TIGR00292', 'HI0933_like', 'NAD_binding_8', 'TIGR00275', 'GIDA', 'TIGR01984', 'Thi4', 'TIGR01790', 'TIGR01292', 'TIGR03997', 'TIGR01373', 'TIGR03143', 'TIGR01350', 'TIGR03378', 'TIGR03140', 'TIGR03467', 'TIGR03315', 'Pyr_redox_3', 'TIGR03197', 'TIGR04018', 'TIGR01372', 'TIGR00136', 'TIGR01816', 'TIGR03996', 'TIGR02734', 'Pyr_redox', 'TIGR03377', 'TIGR01317', 'TIGR02733', 'TIGR01318', 'TIGR01813', 'TIGR03364', 'TIGR01377', 'Lycopene_cycl', 'TIGR02352', 'TIGR02638', 'TIGR01316', 'TIGR02730', 'TIGR00031', 'TIGR01989', 'TIGR02360', 'TIGR02053', 'TIGR04542', 'TIGR01812', 'TIGR00551', 'TIGR00137', 'NAD_binding_7', 'TIGR02485', 'TIGR04046']"
WP_015759614.1,"['ETF_alpha', 'ETF', 'CLASP_N']"
WP_015759615.1,"['TIGR03997', 'TIGR02053', 'TIGR01317', 'TIGR01316', 'TIGR03315', 'FAD_binding_2', 'Pyr_redox', 'TIGR01372', 'TIGR01350', 'FAD_oxidored', 'HI0933_like', 'TIGR02032', 'NAD_binding_8', 'AlaDh_PNT_C', 'TIGR00275', 'GIDA', 'TIGR00737', 'TIGR01813', 'Dus', 'TIGR03467', 'TIGR01318', 'DAO', 'TIGR02023', 'TIGR02734', 'TIGR00292', 'TIGR01292', 'TIGR01424', 'FAD_binding_3', 'Thi4', 'TIGR00518', 'Pyr_redox_3', 'TIGR03364', 'TIGR02028', 'TIGR01438', 'TIGR02733', 'TIGR03385', 'TIGR02374', 'TIGR03197', 'TIGR00136', '2-Hacid_dh_C', 'TIGR03911', 'TIGR00735', 'TIGR02819', 'TIGR02731', 'TIGR02279', 'TIGR03572', 'ThiF', 'G3P_antiterm', 'TIGR03143', 'TIGR04018', 'TIGR00137', 'TIGR03140']"
WP_015759616.1,"['TIGR03997', 'TIGR01316', 'TIGR01372', 'Pyr_redox_2', 'FAD_oxidored', 'TIGR03315', 'TIGR01317', 'NAD_binding_8', 'HI0933_like', 'FAD_binding_2', 'TIGR01318', 'GIDA', 'TIGR00275', 'DAO', 'TIGR02734', 'TIGR03467', 'Pyr_redox', 'TIGR02032', 'TIGR01292', 'TIGR01350', 'TIGR03364', 'TIGR00292', 'Thi4', 'Pyr_redox_3', 'TIGR03140', 'AlaDh_PNT_C', 'TIGR01813', 'TIGR03197', 'Dus', 'FAD_binding_3', 'TIGR02733', 'TIGR00137', 'TIGR02023', 'TIGR00136', 'TIGR02485', 'TIGR00735', 'Amino_oxidase', 'TIGR04018', 'TIGR03572', 'TIGR02352', 'TIGR03143', 'TIGR03911', 'TIGR02279', 'TIGR00692', 'Semialdhyde_dh', 'TIGR02732', 'TIGR02053']"
WP_015759617.1,"['TIGR03969', 'L_biotic_typeA']"
WP_015759618.1,"['Big_5', 'DUF2680', 'DUF5666', 'SH3-WW_linker', 'TIGR02953', 'TFIIA', 'DnaJ-X', 'Germane', 'TIGR00805', 'DUF6076', 'DUF4199']"
WP_041369766.1,"['HisKA_3', 'GAF', 'HATPase_c', 'HATPase_c_2', 'GAF_2']"
WP_015746097.1,"['Fe-ADH', 'Fe-ADH_2']"
WP_015746099.1,"['TIGR03964', 'TIGR04448']"
WP_245544900.1,"['TIGR03965', 'Glycos_transf_2', 'TIGR04283', 'TIGR03937', 'Glyco_trans_2_3', 'Glyco_tranf_2_2', 'Glyco_tranf_2_3', 'TIGR01556', 'TIGR03469', 'Glyco_transf_21', 'Glyco_tranf_2_4', 'Glyco_transf_7C']"
WP_015746101.1,"['TIGR04504', 'TIGR02685', 'KR', 'TIGR03325', 'TIGR01500', 'Epimerase', 'TIGR01289', 'T2SSM', 'NAD_binding_8']"
WP_015746102.1,"['TIGR03968', 'TetR_C_14', 'TetR_N', 'TIGR03613', 'TIGR02366', 'HTH_Tnp_1_2', 'TIGR03384', 'HTH_29', 'HTH_7']"
WP_015746103.1,['TIGR03969']
WP_015746104.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_015746105.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04303', 'TIGR04053', 'TIGR04051', 'TIGR04054', 'TIGR04347', 'TIGR02109', 'TIGR04546', 'TIGR03913', 'TIGR04133', 'TIGR04251', 'TIGR04250', 'TIGR04103', 'TIGR04340', 'Radical_SAM', 'TIGR02668', 'TIGR02666', 'TIGR04082', 'TIGR04403', 'TIGR04167', 'TIGR04317', 'TIGR03942', 'TIGR03470', 'TIGR03974', 'TIGR03961', 'TIGR04466', 'TIGR04311', 'TIGR04163', 'TIGR04085', 'TIGR03977', 'TIGR04084', 'TIGR04321', 'TIGR04463', 'TIGR04064', 'TIGR04280', 'TIGR04083', 'TIGR04080', 'TIGR04269', 'TIGR02495', 'TIGR03906', 'TIGR04115', 'TIGR04068', 'TIGR03978', 'TIGR03963', 'TIGR04304', 'TIGR04334', 'Fer4_12', 'TIGR04041', 'SPASM', 'TIGR04261', 'TIGR03365', 'TIGR04150', 'TIGR04278', 'Fer4_14', 'TIGR04478', 'TIGR02493', 'TIGR04349', 'TIGR04426', 'TIGR04148', 'TIGR03972', 'TIGR04078', 'TIGR02494']"
WP_015746106.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'Glu_synthase', 'IMPDH', 'TIGR01302', 'TIGR01304', 'NMO', 'TIGR03151', 'TIGR01306', 'ThiG', 'His_biosynth', 'DHO_dh', 'G3P_antiterm', 'TIGR00007', 'TIGR01305', 'Dus', 'TIGR01037', 'PA']"
WP_015746107.1,"['TIGR04266', 'TIGR02638', 'TIGR03405', 'Fe-ADH_2', 'TIGR01298']"
WP_015746108.1,"['AAA_5', 'TIGR02640', 'AAA', 'AAA_16', 'AAA_3', 'TIGR02639', 'RuvB_N', 'AAA_22', 'TIGR00678', 'TIGR00635', 'TIGR03346', 'AAA_6', 'TIGR00763', 'AAA_18', 'Sigma54_activat', 'TIGR01241', 'NACHT', 'AAA_2', 'CbbQ_C', 'AAA_30', 'TIGR01242', 'AAA_14', 'MCM']"
WP_015746109.1,"['VWA_CoxE', 'DUF6415']"
WP_041368405.1,"['CbiM', 'TIGR00123']"
WP_052307796.1,['PDGLE']
WP_015746110.1,"['TIGR02454', 'CbiQ']"
WP_012852704.1,"['TIGR01297', 'Cation_efflux', 'ZT_dimer', 'TIGR03818']"
WP_012852705.1,"['Glyco_hydro_25', 'PG_binding_1', 'TIGR02869', 'PG_binding_3']"
WP_012852706.1,"['Band_7', 'TIGR02794']"
WP_012852707.1,"['TrkA_C', 'NAD_kinase', 'NifZ']"
WP_012852708.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'Glyco_trans_2_3', 'TIGR03937', 'TIGR04283', 'Glyco_tranf_2_2', 'Glyco_transf_21', 'TIGR01556', 'TIGR04440']"
WP_012852709.1,"['TIGR03964', 'TIGR04448']"
WP_012852710.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'NMO', 'IMPDH', 'TIGR01302', 'TIGR01304', 'Glu_synthase', 'TIGR03151', 'TIGR01303', 'His_biosynth', 'TIGR01305', 'ThiG', 'TIGR01306', 'PLDc_3', 'TIGR01919', 'TIGR00007', 'TIGR00419']"
WP_012852711.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04053', 'TIGR04303', 'TIGR04051', 'TIGR04054', 'TIGR04347', 'TIGR04546', 'TIGR02109', 'TIGR03913', 'TIGR04251', 'TIGR04133', 'TIGR04103', 'TIGR04250', 'Radical_SAM', 'TIGR02668', 'TIGR04340', 'TIGR04403', 'TIGR02666', 'TIGR04082', 'TIGR04317', 'TIGR03942', 'TIGR04167', 'TIGR04466', 'TIGR03974', 'TIGR04083', 'TIGR03961', 'TIGR04085', 'TIGR03470', 'TIGR04084', 'TIGR04311', 'TIGR04321', 'TIGR03977', 'TIGR04163', 'TIGR04064', 'TIGR04463', 'TIGR04080', 'TIGR04280', 'TIGR04269', 'TIGR02495', 'TIGR03906', 'TIGR04068', 'TIGR04304', 'TIGR04115', 'TIGR03963', 'SPASM', 'TIGR03978', 'TIGR04478', 'TIGR03365', 'TIGR04334', 'Fer4_12', 'TIGR03972', 'TIGR04261', 'TIGR04349', 'Fer4_14', 'TIGR04041', 'TIGR02493', 'TIGR04148', 'TIGR04150', 'TIGR04278', 'TIGR04078']"
WP_012852712.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_012852713.1,['TIGR03969']
WP_012852714.1,"['TIGR03970', 'TIGR01810', 'TIGR04542', 'GMC_oxred_N', 'GMC_oxred_C', 'DAO', 'Pyr_redox_3', 'NAD_binding_8', 'TIGR00275', 'Lycopene_cycl', 'TIGR02032', 'HI0933_like', 'FAD_binding_2', 'TIGR01988', 'TIGR01790', 'Thi4', 'TIGR02352', 'Pyr_redox_2', 'TIGR02023', 'TIGR00551']"
WP_245537035.1,"['TIGR03968', 'TetR_C_14', 'TetR_N', 'TIGR03613', 'HTH_Tnp_1_2', 'TIGR02366', 'TIGR03384', 'HTH_IclR', 'TIGR00388', 'HTH_7']"
WP_012852716.1,['Peptidase_M14']
